Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Quality Publications,Influence,Citations,broad inpact,patents,Score
Rice University,USA,59,57,95,70,286,162,62,151,72,48.03
University of Colorado Denver | Anschutz Medical Campus,USA,60,383+,616+,141,123,104,81,75,84,47.73
Michigan State University,USA,61,113,137,240+,103,141,89,130,85,47.6
Georgetown University,USA,62,157,31,240+,319,318,252,221,138,47.59
Southern Methodist University,USA,63,205,26,240+,711,580,415,621,766,47.58
Indiana University - Bloomington,USA,64,104,37,179,192,150,252,205,223,47.52
Icahn School of Medicine at Mount Sinai,USA,65,383+,616+,240+,152,64,89,61,122,47.45
University of Iowa,USA,66,137,240,169,112,101,153,111,79,47.34
University of Alabama at Birmingham,USA,67,383+,534,240+,148,131,144,88,95,47.03
"University of California, Santa Cruz",USA,68,197,616+,71,267,56,105,93,299,46.91
Wake Forest University,USA,69,291,67,240+,259,236,144,141,103,46.85
University of Miami,USA,70,383+,204,240+,167,134,126,111,87,46.83
Oregon Health & Science University,USA,71,383+,616+,135,193,113,97,100,128,46.75
Stony Brook University,USA,72,206,616+,55,196,105,167,154,96,46.59
